,pred,se,p,elevated,fieldpots,experiments,plant,,,,,,,,,
Wheat,0.920571044,0.025360399,1.64E-288,588.7739726,0.794520548,146,Wheat,,-7.942895616,-12.91353383,-2.972257406,"-7.94 (-12.91, -2.97)",,,Wheat,"-7.94 (-12.91, -2.97)"
Rice,0.924991483,0.017657983,0,596.3191489,0.893617021,47,Rice,,-7.500851678,-10.96181634,-4.039887017,"-7.5 (-10.96, -4.04)",,,Rice,"-7.5 (-10.96, -4.04)"
Barley,0.861118902,0.025911212,3.54E-242,630.9411765,0.411764706,17,Barley,,-13.8881098,-18.96670736,-8.809512244,"-13.89 (-18.97, -8.81)",,,Barley,"-13.89 (-18.97, -8.81)"
Maize,0.956870944,0.058543109,4.74E-60,550,1,4,Maize,,-4.3129056,-15.78735505,7.161543848,"-4.31 (-15.79, 7.16)",,,Maize,"-4.31 (-15.79, 7.16)"
Sorghum,1.002618918,0.023859487,0,561,1,4,Sorghum,,0.261891758,-4.414567659,4.938351175,"0.26 (-4.41, 4.94)",,,Sorghum,"0.26 (-4.41, 4.94)"
C3,0.915265393,0.019058891,0,593.15311,0.775119617,209,C3,,-8.473460736,-12.20900342,-4.73791805,"-8.47 (-12.21, -4.74)",,d,,
C4,0.979381852,0.034604488,3.25E-176,555.5,1,8,C4,,-2.061814837,-8.844294433,4.72066476,"-2.06 (-8.84, 4.72)",,d,,
Grain,0.918103999,0.019738215,0,591.764977,0.783410138,217,Grain,,-8.189600095,-12.05829018,-4.320910009,"-8.19 (-12.06, -4.32)",,,Grain,"-8.19 (-12.06, -4.32)"
Root,0.940980303,0.021112744,0,627.5,0.818181818,11,Root,,-5.901969663,-10.04006752,-1.763871803,"-5.9 (-10.04, -1.76)",,d,,
Potato,0.936225379,0.021316544,0,612.5,1,9,Potato,,-6.377462079,-10.55550461,-2.199419545,"-6.38 (-10.56, -2.2)",,,Potato,"-6.38 (-10.56, -2.2)"
Sugarbeet,0.96,0.07370213,8.77E-39,695,0,2,Sugarbeet,,-4,-18.44561742,10.44561742,"-4 (-18.45, 10.45)",,,Sugarbeet,"-4 (-18.45, 10.45)"
Pulse,0.97013296,0.044220397,1.11E-106,616.4444444,0.555555556,18,Pulse,,-2.98670405,-11.65390194,5.680493845,"-2.99 (-11.65, 5.68)",,d,,
Peas,0.969286173,0.10473989,2.16E-20,584.6153846,0.769230769,13,Peas,,-3.071382678,-23.60040111,17.45763575,"-3.07 (-23.6, 17.46)",,,Peas,"-3.07 (-23.6, 17.46)"
Beans,0.960182279,0.044927269,2.44E-101,699,0,4,Beans,,-3.981772075,-12.78751683,4.823972684,"-3.98 (-12.79, 4.82)",,,Beans,"-3.98 (-12.79, 4.82)"
Chickpea,1.067686015,0.051792877,2.03E-94,700,0,2,Chickpea,,6.7686015,-3.382802361,16.92000536,"6.77 (-3.38, 16.92)",,,Chickpea,"6.77 (-3.38, 16.92)"
Oil,1.001251303,0.015047566,0,572.744186,0.790697674,43,Oil,,0.125130271,-2.824192758,3.074453299,"0.13 (-2.82, 3.07)",,d,,
Soy,1.000421182,0.017170877,0,573.0555556,0.861111111,36,Soy,,0.042118185,-3.323373634,3.407610003,"0.04 (-3.32, 3.41)",,,Soy,"0.04 (-3.32, 3.41)"
Mustard,0.9603928,0.095141602,5.85E-24,585.5,0.375,8,Mustard,,-3.960720041,-22.608474,14.68703392,"-3.96 (-22.61, 14.69)",,,Mustard,"-3.96 (-22.61, 14.69)"
Veg,0.83109783,0.022991838,4.07E-286,650,0.5,2,Veg,,-16.890217,-21.3966173,-12.3838167,"-16.89 (-21.4, -12.38)",,d,,
potato without those two,0.9401,0.022,,,,,,,-5.99,-10.302,-1.678,"-5.99 (-10.3, -1.68)",,,,
