commoddity,mean,SE
Wheat,0.929657615,0.00734479
Rice_Milled_Equivalent,0.933474074,0.0080277
Barley,0.870920078,0.024283125
Maize,0.98659975,0.031255538
Rye,0.837062688,4.18E-05
Oats,0.837062688,4.18E-05
Millet,1.020309516,0.042638516
Sorghum,1.020309516,0.042638516
Cereals_Other,0.837072,4.18E-05
Cassava,0.919533197,0.262997472
Potatoes,0.908,0.065
Sweet_Potatoes,0.8621,0.0512
Yams,0.8621,0.0512
Roots_Other,0.8621,0.0512
Sugar_Cane,1,
Sugar_Beet,1,
Sugar_Non-Centrifugal,1,
Sugar_Raw_Equivalent,1,
Sweeteners_Other,1,
Honey,1,
Beans,0.958158868,0.166287634
Peas,1.084200066,0.042126035
Pulses_Other,0.982800975,0.024067787
Treenuts__Total,0.991652012,0.00929507
Soyabeans,0.98879062,0.004560199
Groundnuts_Shelled_Eq,1.017737395,0.019180545
Sunflowerseed,0.991652012,0.00929507
Rape_and_Mustardseed,0.925434271,0.058742465
Cottonseed,0.991652012,0.00929507
Coconuts_-_Incl_Copra,0.991652012,0.00929507
Sesameseed,0.991652012,0.00929507
Palmkernels,0.991652012,0.00929507
Olives,0.810397639,0.072493085
Oilcrops_Other,0.810397639,0.072493085
Soyabean_Oil,0.810397639,0.072493085
Groundnut_Oil,0.810397639,0.072493085
Sunflowerseed_Oil,0.810397639,0.072493085
Rape_and_Mustard_Oil,0.810397639,0.072493085
Cottonseed_Oil,0.810397639,0.072493085
Palmkernel_Oil,0.810397639,0.072493085
Palm_Oil,0.810397639,0.072493085
Coconut_Oil,0.810397639,0.072493085
Sesameseed_Oil,0.810397639,0.072493085
Olive_Oil,0.810397639,0.072493085
Ricebran_Oil,0.810397639,0.072493085
Maize_Germ_Oil,0.810397639,0.072493085
Oilcrops_Oil_Other,0.810397639,0.072493085
Tomatoes,0.810397639,0.072493085
Onions,0.810397639,0.072493085
Vegetables_Other,0.810397639,0.072493085
Oranges_Mandarines,0.810397639,0.072493085
Lemons_Limes,0.810397639,0.072493085
Grapefruit,0.810397639,0.072493085
Citrus_Other,0.810397639,0.072493085
bananas,0.810397639,0.072493085
Plantains,0.810397639,0.072493085
Apples,0.810397639,0.072493085
Pineapples,0.810397639,0.072493085
Dates,0.810397639,0.072493085
Grapes,0.810397639,0.072493085
Fruits_Other,0.810397639,0.072493085
Coffee,0.810397639,0.072493085
Cocoa_Beans,0.810397639,0.072493085
Tea,0.810397639,0.072493085
Pepper,0.810397639,0.072493085
Pimento,0.810397639,0.072493085
Cloves,0.810397639,0.072493085
Spices_Other,0.810397639,0.072493085
Wine,1,
Beer,1,
Beverages_Fermented,1,
Beverages_Alcoholic,1,
Alcohol_Non-Food,1,
Bovine_Meat,1,
Mutton_&_Goat_Meat,1,
Pigmeat,1,
Poultry_Meat,1,
Meat_Other,1,
Offals__Total,1,
Animal_Fats__Total,1,
Butter_Ghee,1,
Cream,1,
Fats_Animals_Raw,1,
Fish_Body_Oil,1,
Fish_Liver_Oil,1,
Eggs__Total,1,
Milk_-_Excluding_Butter__Total,1,
Freshwater_Fish,1,
Demersal_Fish,1,
Pelagic_Fish,1,
Marine_Fish_Other,1,
Crustaceans,1,
Cephalopods,1,
Molluscs_Other,1,
Aquatic_Products_Other__Total,1,
Meat_Aquatic_Mammals,1,
Aquatic_Animals_Others,1,
Aquatic_Plants,1,
Miscellaneous__Total,1,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
