Wessels_grp,meatslope,GINI,countrycode
SUSAAF,0.0117,33.6,ETH
SUSAAF,0.0291,42.76,GHA
SUSAAF,0.0775,33.27,BDI
SUSAAF,0.0928,50.82,RWA
SUSAAF,0.104,48.83,NGA
SUSAAF,0.106,44.43,COD
SOTRLA,0.113,54.69,BRA
SUSAAF,0.117,35.52,GNB
SUSAAF,0.132,42.76,GHA
CANAME,0.132,30.86,IRQ
SUSAAF,0.132,43.91,MWI
SOASIA,0.139,32.82,NPL
CANAME,0.143,33.71,AZE
SUSAAF,0.144,37.58,TZA
SUSAAF,0.157,45.66,MOZ
SUSAAF,0.165,39.35,GIN
SUSAAF,0.169,44.3,UGA
SUSAAF,0.17,50.82,STP
SUSAAF,0.172,47.32,COG
SUSAAF,0.175,41.5,CIV
SUSAAF,0.181,44.11,MDG
CALACA,0.197,59.21,HTI
SUSAAF,0.206,33.02,MLI
SUSAAF,0.207,47.68,KEN
SUSAAF,0.215,40.3,SEN
SUSAAF,0.221,38.91,CMR
SUSAAF,0.224,39.78,TCD
SUSAAF,0.226,35.29,SDN
ESEASP,0.228,36.74,LAO
SUSAAF,0.231,45.53,SSD
ESEASP,0.232,,MMR
SOASIA,0.238,32.12,BGD
SUSAAF,0.253,39.79,BFA
ESEASP,0.256,36.03,KHM
SOASIA,0.267,30.02,PAK
CANAME,0.278,37.69,YEM
SOASIA,0.28,27.82,AFG
SUSAAF,0.281,38.16,LBR
forgotten,0.397,38.62,BEN
