,Crop,Nutrient,Pr.Chi.,order,
CO2treatment:as.factor(WateringRegime),Wheat,Yield,0.0713,2,
CO2treatment:as.factor(WateringRegime)1,Wheat,Znu,0.00588,4,**
CO2treatment:as.factor(WateringRegime)2,Wheat,Feu,0.0749,6,
CO2treatment:as.factor(WateringRegime)3,Wheat,Phu,0.67955,8,
CO2treatment:as.factor(WateringRegime)4,Wheat,Nu,0.09048,10,
CO2treatment:as.factor(NapplicnQ),Wheat,Yield,0.83895,12,
CO2treatment:as.factor(NapplicnQ)1,Wheat,Znu,0.4057,14,
CO2treatment:as.factor(NapplicnQ)2,Wheat,Feu,0.94952,16,
CO2treatment:as.factor(NapplicnQ)3,Wheat,Phu,0.79559,18,
CO2treatment:as.factor(NapplicnQ)4,Wheat,Nu,0.91402,20,
CO2treatment:as.factor(WateringRegime)5,Fieldpeas,Yield,0.8111,22,
CO2treatment:as.factor(WateringRegime)6,Fieldpeas,Znu,0.27994,24,
CO2treatment:as.factor(WateringRegime)7,Fieldpeas,Feu,0.71584,26,
CO2treatment:as.factor(WateringRegime)8,Fieldpeas,Nu,0.86083,28,
CO2treatment:as.factor(WateringRegime)9,Fieldpeas,Pu,0.81991,30,
CO2treatment:as.factor(WateringRegime)10,Fieldpeas,Ku,0.68692,32,
CO2treatment:as.factor(WateringRegime)11,Fieldpeas,Su,0.70408,34,
CO2treatment:as.factor(WateringRegime)12,Fieldpeas,Bu,0.63094,36,
CO2treatment:as.factor(WateringRegime)13,Fieldpeas,Cau,0.77878,38,
CO2treatment:as.factor(WateringRegime)14,Fieldpeas,Mgu,0.88214,40,
CO2treatment:as.factor(WateringRegime)15,Fieldpeas,Mnu,0.79035,42,
CO2treatment:as.factor(WateringRegime)16,Fieldpeas,Cuu,0.41999,44,
CO2treatment:as.factor(WateringRegime)17,Sorghum,Znu,0.0221,46,*
CO2treatment:as.factor(WateringRegime)18,Sorghum,Feu,0.03021,48,*
CO2treatment:as.factor(WateringRegime)19,Sorghum,Nu,0.01786,50,*
CO2treatment:as.factor(WateringRegime)20,Sorghum,Pu,0.01984,52,*
CO2treatment:as.factor(WateringRegime)21,Sorghum,Ku,0.00451,54,**
CO2treatment:as.factor(WateringRegime)22,Sorghum,Su,0.00727,56,**
CO2treatment:as.factor(WateringRegime)23,Sorghum,Bu,0.00663,58,**
CO2treatment:as.factor(WateringRegime)24,Sorghum,Cau,0.08106,60,
CO2treatment:as.factor(WateringRegime)25,Sorghum,Mgu,0.01249,62,*
CO2treatment:as.factor(WateringRegime)26,Sorghum,Mnu,0.01947,64,*
CO2treatment:as.factor(WateringRegime)27,Sorghum,Cuu,0.02271,66,*
