population.percentile,AFG,ALB,DZA,AGO,ARG,ARM,AZE,BGD,BLR,BLZ,BEN,BTN,BOL,BIH,BWA,BRA,BGR,BFA,BDI,KHM,CMR,CPV,CAF,TCD,CHL,CHN,CHNr,CHNu,COL,COLu,COM,ZAR,COG,CRI,CIV,HRV,CZE,DJI,DOM,ECU,ECUu,EGY,SLV,EST,ETH,FJI,GAB,GMB,GEO,GHA,GTM,GIN,GNB,GUY,HTI,HND,HNDu,HUN,IND,INDr,INDu,IDN,IDNr,IDNu,IRN,IRQ,JAM,JOR,KAZ,KEN,KGZ,LAO,LVA,LSO,LBR,LTU,MKD,MDG,MWI,MYS,MDV,MLI,Marshall_IS,MRT,MEX,FSM,MICronesia,MDA,MNG,MNE,MAR,MOZ,NAM,NPL,NIC,Nicaragua,NER,NGA,PAK,PAN,PNG,PRY,PER,PHL,POL,ROM,RUS,RWA,SEN,SRB,SYC,SLE,SVK,SVN,ZAF,LKA,LCA,SDN,SUR,SWZ,SYR,STP,TJK,TZA,THA,TMP,TGO,TTO,TUN,TUR,TKM,UGA,UKR,URY,URYurban,UZB,VEN,VNM,WBG,YEM,ZMB
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
3,2,2,2,1,1,2,2,2,2,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,2,1,1,1,2,1,2,2,2,1,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,2,1
4,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,1,2,1,1,1,2,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1
5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,3,2,3,2,3,2,2,2,3,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,3,2,3,2,3,2,2,3,2,2,2,2,3,3,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,3,2,2,3,3,2,2,2,3,2,2,2,2,3,2,2,2,3,3,3,3,2,2,3,2,2,2,2,2,2,2,2
8,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
9,3,3,4,4,4,3,3,3,3,4,3,4,4,4,3,4,3,3,3,3,4,4,3,4,3,4,4,3,4,4,3,4,4,4,3,3,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,4,4,3,4,3,3,4,4,3,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,3,3,4,4,3,4,3,4,4,4,4,4,4,3,4,3,4,3,2,3,3,3,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,3,4,4,3,4,4,4,3,3
10,5,6,6,7,7,6,6,6,5,9,7,7,9,6,11,9,5,7,6,6,7,9,10,7,9,6,7,6,9,8,12,7,8,8,6,5,7,7,8,8,9,6,8,6,6,7,7,8,7,7,9,6,7,7,10,9,9,6,6,6,7,6,6,7,6,6,8,6,5,8,6,7,6,8,7,6,7,7,7,7,6,6,13,7,8,8,10,6,6,5,7,8,11,6,7,9,6,7,6,9,9,9,8,7,6,5,7,9,7,5,13,6,5,5,11,7,7,6,9,9,6,9,5,6,7,6,6,6,6,7,7,8,5,7,7,6,7,6,6,7,10
