"","Crop","Nutrient","Pr.Chi."
"<none>","Rice","Zn",NA
"CO2treatment","Rice","Zn",0.00022
"as.factor(Temperature_treatment)","Rice","Zn",0.12238
"as.factor(NapplicnQ)","Rice","Zn",0.11205
"<none>1","Rice","Fe",NA
"CO2treatment1","Rice","Fe",0.00011
"as.factor(Temperature_treatment)1","Rice","Fe",0.4194
"as.factor(NapplicnQ)1","Rice","Fe",0.52802
"<none>2","Rice","N",NA
"CO2treatment2","Rice","N",0
"as.factor(Temperature_treatment)2","Rice","N",0.22674
"as.factor(NapplicnQ)2","Rice","N",0.03915
"<none>3","Rice","P",NA
"CO2treatment3","Rice","P",0.15396
"as.factor(Temperature_treatment)3","Rice","P",0.55468
"as.factor(NapplicnQ)3","Rice","P",0.84065
"<none>4","Rice","K",NA
"CO2treatment4","Rice","K",0.13837
"as.factor(Temperature_treatment)4","Rice","K",0.28739
"as.factor(NapplicnQ)4","Rice","K",0.73114
"<none>5","Rice","S",NA
"CO2treatment5","Rice","S",0
"as.factor(Temperature_treatment)5","Rice","S",0.22632
"as.factor(NapplicnQ)5","Rice","S",0.06985
"<none>6","Rice","B",NA
"CO2treatment6","Rice","B",0.00521
"as.factor(Temperature_treatment)6","Rice","B",0.99283
"as.factor(NapplicnQ)6","Rice","B",0.78682
"<none>7","Rice","Ca",NA
"CO2treatment7","Rice","Ca",0.27434
"as.factor(Temperature_treatment)7","Rice","Ca",0.91694
"as.factor(NapplicnQ)7","Rice","Ca",0.93949
"<none>8","Rice","Mg",NA
"CO2treatment8","Rice","Mg",0.26651
"as.factor(Temperature_treatment)8","Rice","Mg",0.34967
"as.factor(NapplicnQ)8","Rice","Mg",0.93937
"<none>9","Rice","Mn",NA
"CO2treatment9","Rice","Mn",0.00438
"as.factor(Temperature_treatment)9","Rice","Mn",0.83871
"as.factor(NapplicnQ)9","Rice","Mn",0.90982
"<none>10","Rice","Cu",NA
"CO2treatment10","Rice","Cu",0
"as.factor(Temperature_treatment)10","Rice","Cu",0.69773
"as.factor(NapplicnQ)10","Rice","Cu",0.07597
"45",NA,NA,NA
"<none>11","Rice","Zn",NA
"CO2treatment:as.factor(NapplicnQ)","Rice","Zn",0.02755
"<none>12","Rice","Fe",NA
"CO2treatment:as.factor(NapplicnQ)1","Rice","Fe",0.95298
"<none>13","Rice","N",NA
"CO2treatment:as.factor(NapplicnQ)2","Rice","N",0.0307
"<none>14","Rice","P",NA
"CO2treatment:as.factor(NapplicnQ)3","Rice","P",0.01781
"<none>15","Rice","K",NA
"CO2treatment:as.factor(NapplicnQ)4","Rice","K",0.00601
"<none>16","Rice","S",NA
"CO2treatment:as.factor(NapplicnQ)5","Rice","S",0.02892
"<none>17","Rice","B",NA
"CO2treatment:as.factor(NapplicnQ)6","Rice","B",0.00518
"<none>18","Rice","Ca",NA
"CO2treatment:as.factor(NapplicnQ)7","Rice","Ca",0.02374
"<none>19","Rice","Mg",NA
"CO2treatment:as.factor(NapplicnQ)8","Rice","Mg",0.05102
"<none>20","Rice","Mn",NA
"CO2treatment:as.factor(NapplicnQ)9","Rice","Mn",0.95204
"<none>21","Rice","Cu",NA
"CO2treatment:as.factor(NapplicnQ)10","Rice","Cu",0.04268
